(0.0000, 10.0000)|(0.1500, 0.1500)#9999#0
(6.8992, 13.1781)|(0.1500, 0.1500)#9998#0
(19.0690, 12.6373)|(0.1500, 0.1500)#9997#0
(0.7116, 28.5386)|(0.1500, 0.1500)#9996#0
(12.5343, 25.2656)|(0.1500, 0.1500)#9995#0
(22.3453, 18.1870)|(0.1500, 0.1500)#9994#0
(22.3453, 18.1870)|(0.1500, 0.1500)#9993#1
(-5.7084, 17.8862)|(2.0000, 2.0000)#9992#0
(24.9385, 11.8383)|(2.0000, 2.0000)#9991#0
(24.7224, 24.6850)|(2.0000, 2.0000)#9990#0
(16.4542, 17.8661)|(0.1500, 0.1500)#9989#1
(-6.1637, 87.0924)|(0.1500, 0.1500)#9988#1
(5.2886, 17.3689)|(0.1500, 0.1500)#9987#1
(4.7501, 22.9038)|(0.1500, 0.1500)#9986#1
(15.8139, 23.3276)|(0.1500, 0.1500)#9985#1
(9.6008, 23.0461)|(0.1500, 0.1500)#9984#1
(15.8870, 28.9732)|(0.1500, 0.1500)#9983#1
(-50.4733, 112.4527)|(0.1500, 0.1500)#9982#1
(2.6874, 30.6821)|(0.1500, 0.1500)#9981#1
(23.2062, 41.2623)|(2.0000, 2.0000)#9980#0
(15.3031, 46.6898)|(2.0000, 2.0000)#9979#0
(9.0637, 47.8550)|(2.0000, 2.0000)#9978#0
(25.7365, 35.4917)|(2.0000, 2.0000)#9977#0
(-7.3667, 35.1695)|(2.0000, 2.0000)#9976#0
(19.5257, 5.0177)|(2.0000, 2.0000)#9975#0
(13.2173, 5.6674)|(2.0000, 2.0000)#9974#0
(22.4032, 27.4346)|(2.0000, 2.0000)#9973#1
(22.1241, 33.5746)|(2.0000, 2.0000)#9972#1
(9.3008, 42.5929)|(2.0000, 2.0000)#9971#1
(8.4976, 36.0812)|(2.0000, 2.0000)#9970#1
(1.8802, 36.1581)|(2.0000, 2.0000)#9969#1
(-4.1919, 34.8176)|(2.0000, 2.0000)#9968#1
(-4.3626, 22.7365)|(2.0000, 2.0000)#9967#1
(-3.9899, 16.5077)|(2.0000, 2.0000)#9966#1
(1.2214, 12.3230)|(2.0000, 2.0000)#9965#1
(7.2154, 11.1620)|(2.0000, 2.0000)#9964#1
(13.7627, 11.4088)|(2.0000, 2.0000)#9963#1
(20.1746, 11.5600)|(2.0000, 2.0000)#9962#1
(21.3477, 46.3732)|(0.1500, 0.1500)#9948#1
(21.3477, 46.3732)|(0.1500, 0.1500)#9947#0
(45.7647, 52.4861)|(0.1500, 0.1500)#9946#0
(46.1109, 56.9840)|(0.1500, 0.1500)#9945#0
(54.5212, 51.6596)|(0.1500, 0.1500)#9944#0
(54.4209, 56.2728)|(0.1500, 0.1500)#9943#0
(64.2453, 51.3700)|(0.1500, 0.1500)#9942#0
(64.3681, 55.5323)|(0.1500, 0.1500)#9941#0
(48.4438, 19.4968)|(2.0000, 2.0000)#9925#0
(63.7709, 61.7818)|(0.1500, 0.1500)#9899#0
(63.7709, 61.7818)|(0.1500, 0.1500)#9898#1
(64.3681, 66.1496)|(0.1500, 0.1500)#9897#1
(21.5423, 85.6574)|(0.1500, 0.1500)#9896#1
(-5.7755, 108.2993)|(0.1500, 0.1500)#9895#1
(-30.1879, 115.7465)|(0.1500, 0.1500)#9894#1
(-38.5403, 112.1892)|(0.1500, 0.1500)#9893#1
(-38.5403, 112.1892)|(0.1500, 0.1500)#9892#0
(-28.1386, 116.4290)|(2.0000, 2.0000)#9891#0
(-51.0847, 116.4226)|(2.0000, 2.0000)#9890#0
(-38.1054, 102.0745)|(2.0000, 2.0000)#9889#0
(-27.7623, 106.3455)|(2.0000, 2.0000)#9888#1
(-51.4605, 106.2794)|(2.0000, 2.0000)#9887#1
(48.8612, 32.9646)|(0.1500, 0.1500)#9886#1
(11.0208, 27.8004)|(0.1500, 0.1500)#9885#1
(9.7442, 17.5421)|(0.1500, 0.1500)#9884#1
(-20.5740, 33.7453)|(0.1500, 0.1500)#9864#0
(1.3098, 109.6091)|(2.0000, 2.0000)#9842#0
(-4.9162, 8.5885)|(2.0000, 2.0000)#9841#0
(46.4092, 28.5761)|(0.1500, 0.1500)#9831#0
(82.8221, 15.9249)|(0.1500, 0.1500)#9830#0
(79.7899, 20.7815)|(0.1500, 0.1500)#9829#0
(80.5324, 25.5406)|(0.1500, 0.1500)#9828#0
(84.6602, 27.2835)|(0.1500, 0.1500)#9827#0
(79.7386, 50.1259)|(0.1500, 0.1500)#9826#0
(78.8642, 38.4321)|(2.0000, 2.0000)#9825#0
(83.9298, 34.3168)|(2.0000, 2.0000)#9824#0
(78.9747, 32.5800)|(0.1500, 0.1500)#9823#0
(78.9747, 32.5800)|(0.1500, 0.1500)#9822#1
(82.6305, 34.5638)|(0.1500, 0.1500)#9821#1
(78.9852, 36.8096)|(0.1500, 0.1500)#9820#1
(82.7302, 39.0485)|(0.1500, 0.1500)#9819#1
(80.2792, 43.7849)|(0.1500, 0.1500)#9818#1
(80.2792, 43.7849)|(0.1500, 0.1500)#9817#0
(62.4783, 108.2710)|(2.0000, 2.0000)#9816#0
(69.0449, 107.6442)|(2.0000, 2.0000)#9815#0
(74.1127, 103.9411)|(2.0000, 2.0000)#9814#0
(68.0735, 102.1678)|(2.0000, 2.0000)#9813#0
(72.9772, 99.8122)|(2.0000, 2.0000)#9812#0
(67.2788, 96.8718)|(2.0000, 2.0000)#9811#0
(61.7353, 103.3864)|(2.0000, 2.0000)#9810#0
(72.7017, 93.7481)|(2.0000, 2.0000)#9809#0
(76.9694, 96.8995)|(2.0000, 2.0000)#9808#0
(60.9258, 98.7181)|(2.0000, 2.0000)#9807#0
(64.9477, 100.3493)|(2.0000, 2.0000)#9806#0
(65.9826, 105.7389)|(2.0000, 2.0000)#9805#0
(76.2588, 95.8552)|(2.0000, 2.0000)#9804#1
(73.8571, 101.1840)|(2.0000, 2.0000)#9803#1
(70.9705, 98.0627)|(2.0000, 2.0000)#9802#1
(63.8887, 102.5801)|(2.0000, 2.0000)#9801#1
(65.5510, 97.8455)|(2.0000, 2.0000)#9800#1
(68.4649, 95.3730)|(2.0000, 2.0000)#9799#1
(68.9883, 102.3505)|(2.0000, 2.0000)#9798#1
(71.2691, 92.1453)|(2.0000, 2.0000)#9797#1
